"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NRG4",-2.09427291602331,0.494663830084343,-12.9528581612545,6.57122225221867e-34,2.40874287616976e-33,66.0253021023984
"ERMAP",-0.735879461450561,3.63414375259813,-12.9504494143861,6.73337246869957e-34,2.46761302382464e-33,65.6374801265282
"TBCEL",-1.06498650845285,3.78858963654579,-12.9500240688447,6.76241670522477e-34,2.47768729765224e-33,65.5711936723044
"SLC38A7",0.660106669047472,4.73513194657544,12.949265043006,6.81455623092778e-34,2.49621689746097e-33,65.5695296153134
"ZNF792",1.00349901610085,2.82967488997915,12.9457383568855,7.0621140956453e-34,2.58630456011937e-33,65.8533757572786
"SIKE1",0.546739620090091,5.1271690357779,12.9424893077236,7.29810062076426e-34,2.67211412115187e-33,65.4121814263181
"NUBP2",-0.61966235040578,5.21657942702164,-12.9420230835575,7.33260183892014e-34,2.68412972229465e-33,65.2805641325453
"PABPC1L",-1.47453384213524,4.28700200705137,-12.9410350584831,7.40625479505061e-34,2.71046817275583e-33,65.3414350256232
"IBSP",3.41105856373064,-2.72634106964351,12.940313611731,7.46050045781079e-34,2.72969367072058e-33,66.0801263334624
"CHST8",-2.22004259993677,-2.55964977457122,-12.9378408874373,7.64944455386531e-34,2.79818332108114e-33,66.0281221051701
"NUP93",0.592690479314341,5.22040816248908,12.9349467658876,7.8766488030617e-34,2.88063397483243e-33,65.3268139371402
"ISG15",2.29133541550892,4.90750572978335,12.9346730828795,7.89847912154488e-34,2.8879550410457e-33,65.5861354782909
"PRKAB1",-0.796035405325978,5.76092993138998,-12.9337332612946,7.97390369087147e-34,2.91486415195205e-33,65.1331519545947
"PRICKLE3",0.864779558878229,3.98687451590226,12.9330992084505,8.02519380530492e-34,2.93294058401628e-33,65.563304786396
"PHC2",-0.558882962895487,7.12470185335992,-12.9314643453764,8.15896268574725e-34,2.98114505468683e-33,65.0749790657869
"CCL4L2",2.9377923050002,1.1792418723192,12.9311068498047,8.18850851166913e-34,2.99125483976582e-33,65.9029084570926
"CDH13",1.87318822479907,3.40768383414391,12.9310723591251,8.19136468176462e-34,2.99161251828516e-33,65.702135155641
"CCNE2",1.52523891508582,2.14332396853054,12.9271242295026,8.52495219981295e-34,3.11273054205312e-33,65.755174939944
"EPS8",0.872648763770629,6.47483634485278,12.9251942315483,8.6929115369081e-34,3.17333083085756e-33,65.0820564609737
"C2CD3",0.600667741237217,5.00374278690514,12.9234211462984,8.85011807112669e-34,3.22997897452753e-33,65.2512258661336
"UNC93A",4.57384786566238,-1.48695312817497,12.9208142049691,9.08641200062017e-34,3.315458664512e-33,65.8821198209551
"UQCC1",-0.686924826338121,5.15072640887316,-12.919159518048,9.23964198008571e-34,3.37059770836818e-33,65.0542212585416
"BRIX1",0.955608868972573,4.83454661189267,12.9177510270817,9.37209894708858e-34,3.41813530935235e-33,65.2720055686441
"NBEA",-2.04167633049313,2.78400702610976,-12.9049577809168,1.0665182996735e-33,3.88885121486988e-33,65.2515155216235
"APELA",2.50355206367913,-3.39807263897361,12.9026431122475,1.09174416954577e-33,3.97992190627182e-33,65.7049783003565
"C6",-2.61033574840656,0.153608215203854,-12.9000479037241,1.12073457876033e-33,4.08467132775719e-33,65.5083158078157
"GPR20",-1.56110433724895,-0.493408251977009,-12.8943590607824,1.18699298182827e-33,4.32517012903039e-33,65.5192395656082
"C11orf24",0.721012493360755,5.65646103568012,12.8935212196373,1.19707551825165e-33,4.36091191083311e-33,64.8505165248473
"TNFSF15",2.25380446940834,3.49770537726053,12.8915081875803,1.22165021543089e-33,4.44941982027822e-33,65.3091574697168
"ADAP1",1.20853795907079,5.81957278494272,12.8906532273303,1.23223879273849e-33,4.4869595336226e-33,64.8483649518966
"MAPK13",1.03432050776701,6.27663465689389,12.8898993470758,1.24165130092955e-33,4.5202006473767e-33,64.7539742070287
"UBE2J2",-0.523362720408719,5.28540035185846,-12.8887810701196,1.25574548076109e-33,4.57046619601971e-33,64.7441229594446
"CDCA3",1.72071346715534,3.73988084770693,12.8873389974108,1.27415604425395e-33,4.63641530441085e-33,65.2128097925117
"LDOC1",-1.54984016077773,3.19617595122085,-12.8857971440322,1.29413788952903e-33,4.70805060107592e-33,65.0144810590945
"CXCL10",4.66488820247392,2.60744593942419,12.8856315846622,1.29630194322472e-33,4.71484718647092e-33,65.4202917436989
"DBN1",-1.11746676071105,5.88446215901909,-12.8848527179031,1.30653109024008e-33,4.75096794803706e-33,64.6254525261999
"MRPL37",0.600453636736458,6.13923708838666,12.884744310743,1.30796119980098e-33,4.75508339471442e-33,64.6877649488632
"USP48",-0.509334111517398,5.94151958851402,-12.8845429759167,1.31062135023574e-33,4.76366774915786e-33,64.6389303889775
"IRAK3",-1.48473245316414,4.28397715187133,-12.8833396819477,1.32663265123297e-33,4.82076406642752e-33,64.7699299144018
