"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ITIH5",-1.46214135995913,5.19884950029068,-13.6880874327253,2.78750072456643e-37,9.86517796394071e-37,72.9897850909911
"PHYH",0.917616239525369,5.08031955111256,13.6864776366443,2.83487393456284e-37,1.00306083278428e-36,73.2143215765266
"ERF",-0.803945722756905,5.21740230448654,-13.685257481961,2.87131445563699e-37,1.01572908173222e-36,72.9892596432482
"EPN3",1.3044196440416,5.91480069946104,13.6850662562821,2.87706765905315e-37,1.01753846206583e-36,73.1046572284944
"FBN3",-2.27616860006185,-0.0148484378180229,-13.6848224186444,2.88442040696744e-37,1.01991262837314e-36,73.6305701479184
"TMEM241",1.22105592758692,3.07246705099665,13.6846578060265,2.88939476545777e-37,1.02144494480809e-36,73.551951641305
"EIF2B5",-0.461533544212414,6.3879657704124,-13.6840670954421,2.90731567447916e-37,1.02755236920616e-36,72.9251178131351
"DCAF13",0.807994293707269,5.20937723346241,13.6836290424846,2.92067675387188e-37,1.03204583145018e-36,73.1456074715319
"PSMD13",0.6758101040458,7.22850513099746,13.6833095887396,2.93045899389442e-37,1.03527296903096e-36,72.9236523921475
"APBB2",-0.681083447432929,4.92657100841632,-13.6831623801109,2.93497776467151e-37,1.03663960932559e-36,73.006387990336
"FHL3",-1.09326467170047,3.88683709919757,-13.6826530112832,2.95066718284409e-37,1.04195026350321e-36,73.1292460084629
"UBQLN1",0.480419745713994,7.16456282448568,13.6811154242131,2.99853614189191e-37,1.05861940424711e-36,72.8978774954588
"AP4E1",-0.659092756207302,3.30027726477619,-13.6800133374191,3.03332222344809e-37,1.07066333573433e-36,73.2623651942092
"DLG5",-1.13779427164641,6.81582805780508,-13.6790418295749,3.06432003707547e-37,1.08136509610323e-36,72.8766611051258
"NUDT4",1.02193284874025,8.33926619127619,13.6757783081089,3.17077838556783e-37,1.11868542421317e-36,72.8507321446846
"RPL38",0.960874052885595,8.50396425123142,13.6692677483262,3.39429122387882e-37,1.1972782055461e-36,72.7886919053228
"LRIG2",-0.570825751919329,4.60348966640102,-13.6689964854232,3.40393713795441e-37,1.20041499953525e-36,72.9148377863682
"CCDC34",0.98622673582082,3.29506080780832,13.6688017967565,3.41087695895438e-37,1.20259630006045e-36,73.3407222713137
"EPC1",-0.501016325942136,5.32598679489262,-13.666223614751,3.50411869020528e-37,1.23519796377426e-36,72.7996657196516
"SLC4A7",-1.02356251795847,4.73122813654493,-13.665895121411,3.51617985438733e-37,1.23917547819885e-36,72.8215924707094
"RASAL3",-1.32626757237124,2.45546871965661,-13.6618264516482,3.66904158190916e-37,1.29276133544721e-36,73.1549985215214
"PRRX1",-1.4954596839128,5.18587182505418,-13.6606829313911,3.71318390981869e-37,1.30802544801127e-36,72.7039089750268
"PROK1",-2.55819641147919,1.09818733905601,-13.659492608441,3.75969509116522e-37,1.32411709573958e-36,73.2181255696301
"CHST15",-1.29293013452881,4.13773720447334,-13.6593433926512,3.76556640903115e-37,1.32589194963456e-36,72.8130537010595
"RCOR3",-0.687433246025427,5.63758797312253,-13.6551669568686,3.93365871974967e-37,1.38477296803908e-36,72.6487418048493
"GAR1",0.790230287753105,4.00709816581251,13.6544079744081,3.96499926565459e-37,1.39549764395085e-36,73.0649784545445
"ZXDC",-0.608513491428885,4.80881631398733,-13.6538541770674,3.98802401888136e-37,1.40329145388452e-36,72.7233517486391
"SAMD9L",-1.48194910455783,3.12405365429502,-13.6518573745829,4.07215506578264e-37,1.43257893949625e-36,72.8977771199208
"VPS25",0.63225461396511,5.58977932500666,13.6488433664982,4.20250475547106e-37,1.47810957198166e-36,72.6947195614316
"TRIO",-0.891174051992418,6.21685532584623,-13.6460599886565,4.32656923034615e-37,1.5214099609909e-36,72.5264670190398
"ARAP1",-0.61589584416078,6.59709532509455,-13.6418051366651,4.52331111042606e-37,1.59024215042328e-36,72.4806683161295
"S100A9",-1.94495457582556,2.35345405421617,-13.6415568674853,4.53506231803895e-37,1.59402190406926e-36,72.8920305665856
"ADRA1D",-2.36346763769424,0.483281665324356,-13.6403067684482,4.59469646466319e-37,1.61462657951348e-36,73.1143889763105
"PPIL1",0.693741488911759,4.70973536365693,13.6397650685569,4.62077950231102e-37,1.6234345441225e-36,72.766977234302
"FHAD1",-1.80669105961187,-0.125569907591718,-13.6390331611347,4.65625558229136e-37,1.63553798990137e-36,73.1890214000772
"HIST3H2A",2.57451308198648,4.59555033786303,13.6386246951387,4.67617207883248e-37,1.64217190871535e-36,73.0157900206449
"ZFP36L1",-1.17240206779869,7.93970143291318,-13.6359427973799,4.80906435500838e-37,1.6884688506351e-36,72.4763650887988
"C16orf74",-1.68906746912273,0.650051085393417,-13.6342986869452,4.89238629310449e-37,1.7173450233888e-36,73.0818753890785
"PTPRJ",0.936788801141327,6.11248544193981,13.6321360164631,5.00418267433319e-37,1.75620149337013e-36,72.4814596364829
"TRIM74",-2.45996673019499,-1.38438667497694,-13.6291743963879,5.16142052731979e-37,1.81098488235698e-36,73.1476768857627
"EXOC3L1",-1.09298648960321,1.45982006328392,-13.6203244903243,5.66121940955032e-37,1.9859119143537e-36,72.8917504215133
"JAZF1",-1.2669312887623,4.26803654391495,-13.6146925487931,6.00410029309193e-37,2.10572846362784e-36,72.3322856373767
"HMMR",2.45619461427464,1.13014553950804,13.614665976111,6.00576616155733e-37,2.10584937560985e-36,73.0366472083316
"CYP8B1",-1.89028452019922,-3.42532413237596,-13.6117634452877,6.19052899554546e-37,2.17015685482724e-36,73.0688360646155
"QDPR",1.23326543226958,5.74610062785265,13.6092102337272,6.35773153181149e-37,2.22828145596031e-36,72.3341252027041
"KCNN3",-1.46918125799905,2.29543876014333,-13.6088149312319,6.38401798546743e-37,2.23700256514291e-36,72.6075702800429
"C6orf47",0.526784148563245,5.14673873674549,13.6066212025421,6.53187470803722e-37,2.28830951310139e-36,72.3155897100565
"PMM2",0.777442721544632,5.56098797845759,13.6062705688798,6.55582154220392e-37,2.29619414156736e-36,72.2743956487637
