"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IGHMBP2",-0.653605743265544,4.10740973165048,-9.09597544521642,2.47959486523645e-18,9.00658168188214e-18,29.8432798230961
"MIEN1",0.606042964628126,5.3250864374802,9.09503622555699,2.49794871370093e-18,9.07109179992013e-18,29.792779603994
"HEPN1",-3.29598793440017,-0.191122461093895,-9.0949360545836,2.49991413701409e-18,9.07607220900743e-18,30.3603727495397
"TUFM",0.490765557524874,7.77622656673708,9.09443934073641,2.50968265413206e-18,9.10937307310976e-18,29.7996824574327
"CNTN1",-2.67118140747167,-2.88031505639753,-9.09048416001676,2.58882741681482e-18,9.39441267070702e-18,30.6130119334089
"DGKI",1.35783426662646,-1.85861236671256,9.08635969422082,2.67399293282366e-18,9.70116002053141e-18,30.6551587815435
"NT5C2",-0.528698613194258,5.13685964210113,-9.08552629780093,2.691535655195e-18,9.76248667150127e-18,29.6686475265911
"CYP4V2",-1.04378020631039,6.28818632816823,-9.08518166717169,2.69882328702673e-18,9.78659673684276e-18,29.6789115403462
"UBAC2",0.495605702674434,5.93195116413158,9.08365641286969,2.73131198240481e-18,9.90205893312643e-18,29.657544803461
"COX5A",0.591665692245702,6.58418938131557,9.08278373497376,2.75007436616403e-18,9.96771498798683e-18,29.6480923769235
"FAHD1",0.75219402982582,5.64667340175724,9.08243593213967,2.75758757525568e-18,9.992576651051e-18,29.6762394179872
"TDP2",0.542194589417361,5.4259683434129,9.08065911425741,2.79628861800832e-18,1.01304140283986e-17,29.6662424750274
"C17orf67",-1.331624035284,0.113514178073559,-9.07768167064257,2.86235013567003e-18,1.03672842908684e-17,30.3225562914579
"TNPO3",0.438714412518441,5.30170922634499,9.0740368542121,2.94532619750848e-18,1.06652913801249e-17,29.6191287085791
"DEPTOR",1.04557558313067,4.25320348635677,9.07305530314527,2.96807594984837e-18,1.07451240439784e-17,29.8463486833347
"PSMA4",0.430314808389777,6.53044996633556,9.07206888630904,2.99111379056744e-18,1.08259615901613e-17,29.5633597582515
"GNE",-1.02797085743416,5.96748094114274,-9.07161778873491,3.00170813508505e-18,1.08617338414006e-17,29.5581800896798
"SEC61G",0.807318160626583,5.47292227714957,9.07108258425389,3.01432600090655e-18,1.0904809569094e-17,29.6101976670795
"EXOSC8",-0.550437859744589,3.73462239924793,-9.07063438785622,3.02493298588104e-18,1.0940591942544e-17,29.7222205257169
"SNX15",0.682744984535385,3.98094378748709,9.06681070473697,3.11693991802535e-18,1.12706954300391e-17,29.7998459328191
"C6orf141",-2.28317004132857,-1.16159080329358,-9.06538676054604,3.15190707752825e-18,1.13944386211756e-17,30.3041329851143
"ODF3L1",1.77489672966436,-2.30012126166217,9.06437852940414,3.17690040241391e-18,1.14820754610423e-17,30.5225706178049
"ARL3",0.731029174456933,3.61329681174559,9.06036864349922,3.27826009104176e-18,1.18456118352351e-17,29.8311554908664
"RTKN",-0.725012127217984,6.20160211175296,-9.05945334473263,3.30184176529734e-18,1.19280009492928e-17,29.4665940603391
"COX20",0.647493906541756,5.41193761572139,9.05820356661967,3.33431244227388e-18,1.20424553132562e-17,29.5006878046572
"IL27RA",1.34746931804353,2.0511794609093,9.05627629301736,3.38500609309506e-18,1.22226555076998e-17,30.1054078646802
"RPL9",0.771834361448793,8.53847512096076,9.05457694114893,3.43033739983282e-18,1.23834126640315e-17,29.5423690854074
"RNF126",-0.540362605307731,5.16098672801415,-9.05454617165759,3.43116371282543e-18,1.23834701690329e-17,29.4268463899177
"MRPL53",0.63154869219149,5.0357718390419,9.05441205895066,3.43476760476166e-18,1.23935498862722e-17,29.5146653384612
"PSEN2",0.857826885323029,4.32890455671112,9.05214402175324,3.49628541862348e-18,1.26125442592034e-17,29.6450353222388
"C20orf27",0.867848267644574,4.48851241469694,9.0514515749103,3.51528372094827e-18,1.26780860372458e-17,29.6095395193629
"LCN10",-2.04648553348127,-2.24511133344986,-9.04725571648598,3.63260954610378e-18,1.30981374407767e-17,30.2589041019979
"COA7",0.63147256290414,4.48215916276478,9.04507029850249,3.69524633927308e-18,1.3320844376134e-17,29.5291052385414
