"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ARHGAP23",-0.250266271249617,5.12026439867587,-1.37087051366358,0.170967638823348,0.213278591727035,-7.05488422885907
"WASF1",0.215549763889449,3.99784142831945,1.37070083614308,0.171020519072677,0.21332850693747,-6.74022789067006
"ADCYAP1R1",0.571828538694414,-1.97238682587177,1.37049635783788,0.171084261355271,0.213391962760235,-6.06886670188101
"LRRC66",-0.424305802953511,0.82866445594985,-1.37004569478965,0.171224810103343,0.213551201888461,-6.32589339668392
"ZNF121",-0.206236589978752,4.53372775478316,-1.36961529024859,0.171359121722497,0.213702638711996,-6.93538253229415
"PCMTD2",0.137681374068912,6.23016814943689,1.36932057810952,0.171451134912131,0.213801306183394,-7.14573420341942
"TMEM253",-0.32554108094804,-0.703471516077772,-1.36907476322421,0.171527910068741,0.213880958260353,-6.19421566445617
"HADHB",-0.132642074477046,7.56499743756444,-1.36898209658201,0.171556859259726,0.21390096786245,-7.18780847035207
"CLEC1A",0.364172165751856,3.0405938882076,1.36796427509649,0.17187506952031,0.214281604570403,-6.53417239751137
"PXT1",0.387426623962632,-3.67131240488982,1.36753194500622,0.172010366516902,0.214427082370119,-5.99498124034511
"WDR31",0.284431228193185,2.59677919250843,1.36750876015253,0.172017624435888,0.214427082370119,-6.47965959972925
"ONECUT2",-0.677280678233288,-1.80335717690399,-1.36736918812106,0.172061321716546,0.214465427617369,-6.14771476132985
"EGFLAM",0.489638286147076,3.44941396158103,1.36657057368993,0.172311512481313,0.214761131065079,-6.57604143832964
"EIF3J",0.103343165002324,5.77827081451651,1.36628356422279,0.17240149373087,0.21485712730693,-7.10714647284726
"LRRC37B",-0.187967714719573,2.87146796444173,-1.36586079216031,0.172534102525985,0.21500623013968,-6.59327462041743
"KCNJ16",-0.469196861112509,7.12886942187293,-1.36563510260935,0.172604924746118,0.215078319982404,-7.19478867982965
"SMAD4",0.116436833507338,6.34599747310115,1.36485417702786,0.172850150318073,0.215367701948244,-7.1616480971179
"ZNF473",-0.12442844899741,3.44601376510261,-1.36431336900583,0.173020127398948,0.215563289407617,-6.70322184834944
"SVIL",0.2024913741144,6.20156854241695,1.36378043565418,0.173187751998916,0.215752541901479,-7.14384022986324
"TTC3",-0.129810465389001,7.41742085541075,-1.36374768661715,0.173198056587658,0.215752541901479,-7.19725087135617
"RTCB",-0.123254623171241,6.30444337765942,-1.363168412719,0.173380402922458,0.215963463565096,-7.17640266082371
"ZBTB8A",-0.19790763434798,2.73283395941976,-1.36285848204523,0.173478023293862,0.216068826398387,-6.57381336130406
"RBMS1",-0.129761609304613,6.38752240779875,-1.36252611009979,0.173582757861863,0.216183033548064,-7.18202076484143
"CCDC36",-0.359275850481969,-1.26879600312502,-1.36227996935189,0.173660350426347,0.216263422948877,-6.17138205303069
"IL22RA1",0.688379753450796,2.10001158157542,1.36165875028716,0.173856296938832,0.2164911782296,-6.36647757331103
"ZNF84",-0.139334256934411,5.28271508867766,-1.36107683334182,0.174039996859362,0.216703650614447,-7.07558951899038
"FGF18",-0.411477552301194,-0.942240644574113,-1.3609403308709,0.174083109090344,0.216741053289937,-6.19417000010361
"KCNJ14",-0.275237475969689,0.663350335500585,-1.36041001748824,0.174250676409281,0.21693339071784,-6.30668663834725
"GPSM2",0.261029031423443,3.67842606233074,1.35996201606621,0.174392329055819,0.217093439211325,-6.67090627411673
"ST3GAL3",-0.189326641373775,3.90906662825474,-1.35921396462887,0.174629046040476,0.217371796253852,-6.81277709436363
"CRB3",-0.338186781249053,4.05164149469478,-1.35910302784242,0.174664171879452,0.217399197116324,-6.87963170107122
"FIBIN",-0.445405319618852,3.71734822405153,-1.35887702362116,0.174735747803459,0.217471958774383,-6.82316501134387
"SYTL2",0.355681304317409,6.13449035808314,1.35879036872835,0.174763197378283,0.217489795025863,-7.1278236820316
"CSNK2B",-0.120714431487441,7.05112570718808,-1.35838626652233,0.174891247008922,0.217632814243107,-7.20559809397812
"SPX",-0.686371016008546,3.86220742454454,-1.35823938159292,0.174937808473428,0.217674416592687,-6.91426893217254
"ALOX5AP",0.38890113595374,3.59224885402443,1.35731007672647,0.175232606451886,0.2180248692207,-6.63103726444486
"MAP3K11",-0.147082521788095,6.73916521899269,-1.35653922999193,0.175477419565592,0.218313082618787,-7.20384025466455
"OTOF",0.433216604077545,-2.09160482663406,1.35608109606761,0.175623039416563,0.218477854767554,-6.08992769589866
"PXN",-0.147541080028748,7.64056255739431,-1.35565340629375,0.175759064015389,0.218630666439911,-7.20404226941583
"RRP12",-0.188909762122377,4.69799293624288,-1.35550804463636,0.175805313500224,0.218671790270853,-6.98634402205672
"ITGB4",0.385060676337577,5.52732251100247,1.35441152156817,0.176154485777063,0.219087466032729,-7.03580356091861
"TK1",0.413873149306859,4.067979741077,1.35437559957982,0.176165933390573,0.219087466032729,-6.72693095391382
"ACOT7",0.283154702675646,5.65501370456081,1.35302745806604,0.176595961105537,0.219605793517004,-7.08829990619898
"RFPL2",-0.467944079948809,-3.40097966209572,-1.35265510719532,0.17671487104077,0.219737181953419,-6.0695732258838
"PARD3",0.158613763057192,6.03773659468674,1.35209399572761,0.176894174505228,0.219943641752075,-7.14876788528518
"NT5DC4",-0.480079629912308,-4.44977710927499,-1.35194580359382,0.176941552060215,0.219986051114084,-6.01667162149816
