"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF550",-0.817604087909781,2.71660672297899,-4.43245388522289,1.28818876364337e-05,4.12796102725742e-05,1.98288345548119
"GUCA1B",-1.24250873434869,-1.8887802961554,-4.43201445993377,1.29066241513644e-05,4.13507007459192e-05,2.45793583693659
"SNX14",0.370605341127717,6.07153494695345,4.43179200947486,1.29191638823865e-05,4.13826943494907e-05,1.51328244554169
"FAM92B",-1.69637815549246,-4.86973718859367,-4.43174588782144,1.29217652625694e-05,4.13828470513709e-05,2.57384727099745
"SPP1",1.22102285725849,12.2522391835733,4.4314255837658,1.29398450948787e-05,4.14325607118178e-05,1.57235626545733
"WDR41",0.381201514249681,5.09615302809241,4.43044370439357,1.29954193372452e-05,4.16022857289725e-05,1.66712469196003
"CDC6",1.52827801978413,1.95738149679141,4.43034684878821,1.30009137329479e-05,4.16116545610153e-05,2.35887680616673
"C9orf116",1.29488249270673,3.56489515944242,4.42826960300754,1.31192885286552e-05,4.19822414310539e-05,2.14861646474546
"PIEZO2",-1.5190788181001,1.28786415347631,-4.4272452495371,1.31780424516224e-05,4.21619304893466e-05,2.10375195380634
"RPL27",0.54721687955095,9.02998662148412,4.42608207194406,1.32450647293965e-05,4.23679972246091e-05,1.44907805292405
"GIMAP4",-0.98247314571803,3.89113651384399,-4.42585385581086,1.32582528258297e-05,4.24018131128026e-05,1.65496106710477
"STK25",-0.360768393956914,6.90735853394594,-4.42527843817663,1.32915608156987e-05,4.24999492932908e-05,1.41517299430377
"PCDHGA12",-1.56269084835926,-0.0526171396641824,-4.42290561518234,1.34297606750382e-05,4.29333737895037e-05,2.27531831934746
"NUP107",0.545811576271697,5.02410381195778,4.42081967225598,1.35523884778151e-05,4.33168550854031e-05,1.68382024738148
"TTC38",-0.793561538782789,6.07956151466939,-4.42038388984407,1.35781422999957e-05,4.33906124968311e-05,1.39830899355161
"APPL1",0.537472075070693,5.70617735670307,4.41885148336607,1.36690772831172e-05,4.36725941192653e-05,1.53143919485892
"SEMA7A",-1.08673600030424,1.28510212069644,-4.4184435217319,1.36933844577814e-05,4.37416312119746e-05,2.14242002409262
"TALDO1",0.825620601174816,7.74884905716089,4.41752882131029,1.37480348069394e-05,4.39075490828641e-05,1.38582192136558
"MYOF",0.747669853886047,7.0612286068401,4.41722718044351,1.37661026464173e-05,4.39502030465379e-05,1.40216275314397
"SPR",0.63347277281253,6.17207560727832,4.41721045089527,1.37671053872577e-05,4.39502030465379e-05,1.46491477383455
"DPY30",0.529010802229843,5.37647263378585,4.41717005824785,1.37695267428123e-05,4.39502030465379e-05,1.57935839431564
"TAF7",0.38997552586231,6.81941517612211,4.41457603702889,1.39258841471572e-05,4.44405184333758e-05,1.38535652760782
"ZNF23",-0.804022325483929,3.87609936185372,-4.41439799943491,1.39366777223539e-05,4.44662064364531e-05,1.64664273858009
"RPUSD4",-0.429805387183354,4.38014285866985,-4.41422852117341,1.3946959833743e-05,4.44902527767334e-05,1.6033121647916
"PARP15",-1.3219666499256,0.269344025268775,-4.41227098976611,1.4066249850382e-05,4.48585508525634e-05,2.22608573744899
"EFR3A",0.472171470822881,6.28200829727004,4.41224317980938,1.40679515848644e-05,4.48585508525634e-05,1.41830279033623
"ITGB4",1.42977451908344,6.50931357748443,4.41142861070904,1.41178839444967e-05,4.5008913893482e-05,1.51052390169075
"LUC7L",-0.964767557783814,5.95543697898692,-4.41093044320523,1.41485048137333e-05,4.50976633569135e-05,1.35868581299059
"FMO2",-1.80044686008726,2.35333178586962,-4.41037772756385,1.41825530701651e-05,4.51973003937121e-05,1.78578781337581
"ZDHHC9",0.56305841096105,6.31553684221192,4.40981995138251,1.42169926549386e-05,4.52981450989539e-05,1.4131051188017
"SLCO4C1",1.81012440442504,6.67397621531696,4.40936150909272,1.42453589099328e-05,4.53796031325851e-05,1.53846635372321
"HDHD2",-0.471835499069488,4.98958434954112,-4.40861975113852,1.42913703045443e-05,4.55172279451926e-05,1.4568524202729
"NOA1",0.499246626814239,4.71739279657877,4.40778010311356,1.43436256726566e-05,4.56746814748281e-05,1.68424723336857
"CBFB",0.466471321361249,5.39882557353509,4.40743659549181,1.43650565465047e-05,4.57339373941274e-05,1.52925224376383
"PRDX4",0.749919245668607,5.85295532593878,4.40484865963646,1.45275027636616e-05,4.6242031484018e-05,1.48634764101419
"DARS2",0.778703494558042,5.0105358239664,4.40447937684655,1.45508258676692e-05,4.63071746240337e-05,1.65979562974764
