"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ARPIN",0.0142240273477103,5.32552234020667,0.20688965303519,0.836129188085651,0.84616054950998,-8.63592402855807
"DAPL1",-0.0403925950968598,-1.95768627612871,-0.206837110629222,0.836170214649205,0.84616054950998,-7.68772725999227
"LPIN2",0.0123615986181775,5.55368727299601,0.206656271935288,0.836311421912227,0.846250783593842,-8.6709353304456
"SNX5",0.00737524809226375,6.62450214495957,0.205889650408836,0.836910094251671,0.846803879586901,-8.77606578825979
"TXNRD3",-0.013645221912431,3.36265930704397,-0.203905727613128,0.838459823307022,0.848319146806371,-8.25698170610534
"NT5DC2",0.0176458428104187,5.39196535582897,0.202949272776968,0.839207176652409,0.849022465268227,-8.64569737030585
"SUOX",0.0115586826530309,5.14103915906661,0.20141345198286,0.840407537640843,0.850183973693026,-8.60747768654695
"RNF19A",0.0124729633803531,6.48732502168172,0.201286836636863,0.840506513802347,0.850231209719692,-8.76811868328532
"AKAP3",0.0212126731642196,0.0350348416271719,0.200449236658463,0.841161335476439,0.850840681564835,-7.82984887463411
"CACNG6",0.0493029345381779,-3.90650238800942,0.196837508102812,0.843986179144573,0.853644933775908,-7.56322668861471
"LRRC36",-0.0228552725790809,-1.25883280110455,-0.196686078120946,0.844104661338902,0.853711673779043,-7.73801036096435
"GSTA2",-0.0386154493876738,-4.16777835644587,-0.19598517980881,0.844653105767977,0.854213234203908,-7.55123081936556
"TBC1D10C",-0.0238523571004561,2.35376860957193,-0.195173180797803,0.8452885794039,0.854802741015249,-8.08448815759316
"ACTN4",0.00826241738551836,9.04435779248463,0.194438568935783,0.845863576405036,0.855331020986114,-8.79633537605351
"ATP13A5",0.0534079850204235,-0.620071202423746,0.194297557766518,0.84597395838816,0.855389449189097,-7.77856296309172
"CDKL5",-0.0154791989632477,4.31095892883941,-0.194052133856629,0.846166080726044,0.855530515093691,-8.45439262469339
"SCML4",-0.0313019292724954,-0.551357760074657,-0.193844505721654,0.846328622988852,0.855641657882793,-7.78959896911649
"LIN52",-0.00807971734359514,3.61788040646481,-0.192980418344825,0.847005146438055,0.856272391606095,-8.31054711123184
"HIRA",0.00896229039808105,5.16324933262685,0.191338905561716,0.84829065330278,0.857518655063704,-8.61430985267074
"PPIL3",0.0098287518470519,3.76910225875101,0.190968629431898,0.848580681137981,0.857758517942929,-8.33621353778874
"DNAJB2",-0.00953149265554831,6.66713851803639,-0.19001722349494,0.849325987136713,0.858458524632807,-8.78224067876841
"AKR1B15",-0.0427955231302193,-1.44019184170732,-0.189602294877687,0.849651073401875,0.858733732483611,-7.72694097279549
"UBA52",0.00911376930909569,8.69183062602956,0.188988005340599,0.85013240097644,0.859166807822936,-8.80425578293476
"ANKRD18A",-0.0387301511103217,-1.13435935305688,-0.185891543115625,0.852559486877366,0.861566143151859,-7.74970460744398
"RP1",0.0372833389539715,-2.31249773597973,0.182509508677537,0.855212008679925,0.864192983604856,-7.66710786593072
"CTAGE15",-0.0392210536235047,-0.649363938325151,-0.181982587544104,0.855625420025368,0.864557013822078,-7.78559198542448
"PCNT",-0.00877551808454946,5.56079937254235,-0.176325089838149,0.860066651982035,0.868957906527149,-8.67952858233017
"UGT8",0.0397058552547968,0.40809843637017,0.176298268846311,0.860087717590763,0.868957906527149,-7.86283030743269
"MOB3A",-0.00652813840538879,5.78930000361848,-0.175639067009477,0.86060549588428,0.869427009633482,-8.70851838538739
"RBMX",-0.00410831799321265,7.68434665935818,-0.174598049609216,0.861423298072055,0.870199134876864,-8.8143588860935
"FSD1",-0.0302694486569326,-2.41119515755417,-0.173060102195094,0.862631750408201,0.871365769621602,-7.66345630656165
"TRAPPC8",-0.0083791644513429,5.70552299501292,-0.169578054219435,0.865368977824229,0.874076417228423,-8.70047792236958
"DTD1",-0.0117412239460855,4.58277095989568,-0.168990097311021,0.865831329526858,0.874489105072093,-8.50863359357144
"EIF2B3",-0.00690803193163969,4.79982296223493,-0.16890553207151,0.86589783288391,0.874501959903003,-8.55329011634092
"TNFRSF21",-0.0170780692169288,5.24766004283959,-0.168481412647932,0.866231381011545,0.874784494691036,-8.63399574784384
"SEMA5B",-0.0177623121638939,1.01123847131714,-0.167853169538639,0.866725505745394,0.87522914645005,-7.92378692616336
"HIVEP1",0.010644696855076,5.16886088853869,0.166593425043941,0.867716474840416,0.876175430850968,-8.6193648884584
"BTC",0.0209204614047365,1.28934109609188,0.165706058284569,0.868414640666102,0.876825958432395,-7.95208153568375
"C3orf33",-0.00995144511159829,2.26316232879345,-0.165293305702529,0.868739422770454,0.877099428390956,-8.07773689495002
"CYP4X1",-0.0393869677719909,4.02149868941785,-0.161794529260762,0.871493385900931,0.879825269525759,-8.39982162730004
"SOS2",-0.00743372916217577,5.67862785961596,-0.161606134731117,0.87164171991044,0.879920395380444,-8.69789119380666
"PRSS33",0.0368364741737235,-4.97491365759514,0.161514485387226,0.871713882422807,0.879938619240204,-7.51592375453513
"GNRHR",-0.0198502141702241,-3.47404062670067,-0.161398826568477,0.871804950950032,0.879975924048751,-7.59854852862844
"MED4",-0.00606201608627011,5.45190153751045,-0.161231065968971,0.871937046890069,0.88005463359771,-8.66546367534009
"RCN1",-0.0102030502361794,7.17112332175857,-0.161113048042297,0.872029977223446,0.880093805598441,-8.80791487228973
"CT83",0.0417745852361575,-5.25000728628856,0.160979157442759,0.872135408246374,0.880145588240197,-7.51091951595876
"CDK14",0.0133486257444115,4.87651063712078,0.159212518189422,0.873526745689056,0.88149500083124,-8.5675603323486
"CLDN8",-0.0400107120502089,1.6478233146504,-0.157393134955223,0.874960031642098,0.882860925398324,-7.99208542269173
"BCORL1",-0.00919742611226848,4.53417212714738,-0.157356492097409,0.874988902634657,0.882860925398324,-8.50468340642761
"WNT3A",0.0268241172709658,-3.72807280538359,0.151801059250578,0.879367946371613,0.887224317154434,-7.58155035111815
"BAG3",0.00944613739310896,6.26654278903359,0.151397909132127,0.879685873031697,0.887490022162756,-8.76011388343698
"SLC16A9",-0.0223594708403227,1.31957415563054,-0.151103568306534,0.879918004283384,0.887669143030794,-7.95915052913038
"EFHD2",-0.010058465837905,5.69301971782885,-0.150272230600034,0.880573692695949,0.888275503419237,-8.70014336676772
"TRIM16",0.0113707660278379,4.52032842917367,0.149330936155102,0.881316204563025,0.888969365997018,-8.49932199828862
"PITPNA",-0.00527016847130124,6.58499469776024,-0.148784985648444,0.881746909135933,0.889348647048846,-8.78442656985446
"SRCAP",-0.0134714950321211,6.51500314915012,-0.148111617435411,0.882278182733932,0.889829310817365,-8.78106928565776
"C11orf71",0.0106024851327704,3.23143510498736,0.146607367985108,0.883465195649024,0.890971225528336,-8.23651617871127
"SLC2A4RG",0.00999877774680069,6.17763966903267,0.144458639078739,0.885161225231396,0.892626308118129,-8.75326357940345
"CTDSPL2",0.00625989096290702,5.36841104443376,0.14380435487645,0.885677768287585,0.893091825379346,-8.6549882862424
"CLEC9A",0.0226307395202392,-2.01903040632859,0.142192394341466,0.886950582933153,0.894319840008614,-7.69241708507982
"AMIGO1",-0.0115547875580035,3.49818708977805,-0.141318612251834,0.887640649267417,0.894960148700275,-8.29731558292606
"HS3ST5",-0.0277490766587238,-4.34203781266527,-0.139554623050988,0.889034012871572,0.896309430707842,-7.55041005592439
"RIOK1",0.00771953126051361,4.66966242913357,0.138888638534333,0.889560159218535,0.896784285488303,-8.53168683344745
"WDR36",0.00566008075529822,5.20541270886638,0.138604001319507,0.889785045429128,0.896955393551232,-8.63024298270853
"TPD52L1",-0.0165509243857285,5.55905604116232,-0.138122823927914,0.890165234313242,0.897283024880799,-8.68410099780768
"CPTP",-0.00927282433065724,4.88514818359653,-0.137042314102392,0.891019061010595,0.898088011042165,-8.57078851491013
"MPG",-0.00932656773440144,5.31899928374978,-0.136686445242766,0.891300298912055,0.898315801729646,-8.64757884549538
"FZD7",-0.0139646424053321,5.27576315095248,-0.134414982573967,0.893095723403195,0.900069574490751,-8.63987945303232
"AQP11",-0.0131638991100672,0.977053962562255,-0.134081347216014,0.893359484093859,0.900279601557559,-7.92560206687513
"RPS15A",-0.00600909112527326,9.2869081179705,-0.128147437686965,0.898052575505503,0.90495296708827,-8.80154526286245
"TCP11L1",0.0070891507327504,3.2366290196356,0.127295821771595,0.898726410117912,0.905575864758503,-8.24424789851152
"RC3H1",0.00563409190482655,5.39176083970362,0.126984637722779,0.898972650391817,0.905767858777678,-8.661148711082
"POLR2C",-0.0049402322911245,5.93489723367117,-0.126218091572057,0.899579260678897,0.906322900511755,-8.73248203428312
"ZNF229",-0.018842837833744,2.21644481593865,-0.126097249560616,0.8996748950026,0.906363098905482,-8.07835098349741
"COX11",0.00622450452432588,5.33437148870209,0.125439106653323,0.900195774624381,0.906831672362119,-8.65117891761602
"NKAIN4",-0.0228220941071955,-3.26079947174211,-0.124623050449243,0.900841692646465,0.907426140102627,-7.61621793244341
"EMC6",-0.00785736987370189,3.71555177060598,-0.123919775784697,0.901398395520286,0.907930672527153,-8.33540951887986
"PLXNA3",0.00703179243759244,6.03726833583929,0.122030769583115,0.902893947328323,0.909380736495304,-8.74280028416472
"SMARCA2",-0.00600624589578658,7.19442760716245,-0.12148301673543,0.903327675447836,0.909761234788673,-8.81399980769878
"TTF1",0.00431322268230261,4.18949248366035,0.121399051355432,0.903394164461682,0.909771854252903,-8.43597937290069
"PTRH1",-0.0104811514574332,3.11861262652121,-0.120516365833345,0.904093170751268,0.910419415614411,-8.21820734938596
"DNAH11",0.0257586905782536,-1.1327772543886,0.11800653004481,0.906081136236466,0.912364794890242,-7.75634100158152
"ELF5",-0.0382255237824887,2.1120971427546,-0.115158886542212,0.908337382038648,0.914580057378026,-8.06019062032737
"NKX2-5",-0.0294928089993967,-4.01534180063629,-0.114488767305658,0.908868439439253,0.915058108108044,-7.57195859416807
"GMPR",0.0128562140437078,2.94070527873445,0.112267043702859,0.910629405698891,0.916774307897936,-8.18805074665084
