"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COL28A1",-0.203990620796691,1.4615071749184,-1.44859970519917,0.147850422154679,0.156130362730865,-7.112056975464
"ESD",-0.0520409384442182,5.99171159761548,-1.44502068525384,0.148852835321192,0.157178384084887,-7.87657743419263
"CCDC96",0.118717366275452,0.805719757649555,1.44272317534935,0.149499057237744,0.157850176711038,-7.02138785299171
"FTCD",-0.214566500247186,-2.06292608544988,-1.44206520913392,0.149684518271025,0.158035412633074,-6.72999797973345
"VTI1B",0.0458415516081692,6.23781452438712,1.44163203670576,0.149806712614861,0.15815383188191,-7.89263770890877
"SH3TC2",0.181036701914374,-0.0500652372120513,1.44108896152424,0.149960017304669,0.158305076862707,-6.92396524559429
"FAM216A",-0.084724121452723,2.15065684855312,-1.44028123832957,0.150188251203524,0.15853539520372,-7.22990051467113
"LY75",0.139894939275128,4.25377449443581,1.43593320877326,0.151421412024982,0.159826390302097,-7.64207391249649
"ZNF566",0.0719079434831498,2.81794845197945,1.43565128796784,0.151501634621242,0.159900359411439,-7.35151012157867
"TRIM17",0.173543988808941,1.03933848314736,1.43274362036287,0.152330925813325,0.160764860046947,-7.06351553953138
"DNAJC3",0.0527465071775035,6.31380816208146,1.43232769435039,0.152449833875242,0.160879581015485,-7.90935330878708
"RAP1B",0.0592347542753258,7.49877604839585,1.42850214812218,0.153546831291469,0.162026390553499,-7.92924844565797
"QPCT",0.155588794589693,2.76288751921121,1.42785950801462,0.153731700526604,0.162210610917094,-7.34625092781138
"MRPL32",-0.0586579437790506,5.25117450474627,-1.42707751876111,0.153956885146355,0.16243734271114,-7.83344880475218
"RHBDF2",-0.0693508903460058,5.87964895063671,-1.42677069112645,0.154045308990769,0.162519759799925,-7.89642476300795
"LRRC8A",-0.085467706838612,7.10186551949455,-1.42659849521363,0.154094950614293,0.162561252859782,-7.93421046255194
"TNFRSF12A",-0.12742228752699,5.46732668418792,-1.42440001816322,0.154729811142903,0.16322007112264,-7.86517857750711
"PRKAR1B",0.0748547563078272,4.47078891851227,1.4230908361465,0.155108811868307,0.163608920059685,-7.70737947741338
"GDF6",-0.219334569973943,-1.65870216192315,-1.42244662515189,0.155295566351787,0.163794949014423,-6.79658246611144
"HSF1",-0.052774278381996,6.89688935591914,-1.41871123878059,0.156381814274115,0.164918965910759,-7.94437619632472
"RNF32",0.0939208281695196,1.15509167779008,1.41870998076979,0.156382181072953,0.164918965910759,-7.10180540966644
"SIMC1",0.0951593336629868,3.38094037011241,1.41724026448594,0.156811153705978,0.165360293465854,-7.49050467114156
"TBL1Y",-0.293643760653347,-3.52049836738812,-1.41688959710825,0.156913636514947,0.165457295386062,-6.63943988351344
"SOX6",0.188391329519718,2.38192485959405,1.4157853564812,0.157236684025486,0.165786842818391,-7.29188031199393
"ANKUB1",-0.237987691357615,-1.49126240532981,-1.41365540917637,0.157861230040713,0.166434218188992,-6.82611005978108
"TRIP12",-0.0397183363177964,7.39758618262239,-1.41224765787336,0.158275045013675,0.166859346592361,-7.95329409732432
"ADIPOR2",-0.0576794403667105,7.08379840430025,-1.41206964806533,0.158327430375242,0.166903411290312,-7.95466918241349
"PPFIA1",0.0857782075341413,6.26738181108126,1.406520766427,0.159966978458908,0.168620491369189,-7.94293319530142
"SERF1B",0.0661849836612127,4.41823709278458,1.40350606009006,0.16086312025928,0.16955377291838,-7.72471350705369
"MUC15",-0.203879019312443,2.09277066988275,-1.40152780325993,0.161453232185939,0.170164388057708,-7.28009015048943
"DNLZ",0.0768482081137636,2.62175662044971,1.40090698048806,0.161638760206233,0.1703485369629,-7.36035310052242
"RPL14",0.048307836704943,8.761643981881,1.39996178154745,0.16192153512283,0.170632159438712,-7.94833902179264
"CDON",0.12452058411906,3.28822606111331,1.39993507736346,0.161929529637346,0.170632159438712,-7.49248867072728
"PFN4",0.114659644473728,-1.57412701785615,1.39626235566903,0.163031889846295,0.171782281367355,-6.83242983299465
"CTAGE15",0.275769403995754,-0.712054218468724,1.3957913685841,0.163173664899872,0.171920174674615,-6.91415884837909
"SF3A2",0.0552604597229491,6.09088063082776,1.39502533730397,0.163404452137633,0.172151826739133,-7.95023510701936
"SMIM4",0.0744758817385049,2.56094574774017,1.39422607246689,0.163645514598962,0.172394272396287,-7.35849997150919
"ATP6V1C2",-0.116976814333285,2.42808883969408,-1.39369443291096,0.16380600853509,0.17255181547258,-7.3478939442835
"RPS23",0.0551258933690626,9.07422631552789,1.39018222628864,0.164869277894594,0.173660249681303,-7.95496916152055
"FSIP2",-0.14870576235834,0.210511838623059,-1.38987203948762,0.164963432055322,0.173747814720392,-7.0353264050793
"ZNF512B",0.0708905375928923,5.42775240128154,1.38657071576465,0.165968030720167,0.17479423010908,-7.90497054841616
"ST18",0.177716105981187,-1.91391130728449,1.38437369093127,0.166639139967856,0.175489304726654,-6.81527434349478
"ARPIN",-0.0639181768619688,5.19116974910752,-1.38385300413157,0.166798489582924,0.175645383419186,-7.88755616260318
"TMEM150C",0.132045770412782,3.34169161798616,1.38370055794913,0.166845165520852,0.175682799363483,-7.52615713877078
"PTAFR",-0.12711100336278,4.52663130607411,-1.37952384418387,0.168127820381618,0.17701430326076,-7.79089301995254
"PCSK1N",-0.217717269071292,0.298810652069148,-1.37950979657376,0.168132146836041,0.17701430326076,-7.06268598097786
"NAV1",0.114744284873408,6.33646672423328,1.37494841070935,0.169541418561184,0.178486104060271,-7.98950024047358
"LRRC73",-0.130824834023531,-0.194287769820416,-1.37456651247164,0.169659810076712,0.178598814427332,-7.01138872385291
"SWT1",-0.0524069308313337,2.78386188552803,-1.37399196855399,0.169838040282309,0.178774496995881,-7.43814477582362
"UBOX5",0.0542785460085828,3.90104003348637,1.36851992993788,0.171542583865921,0.180556673036147,-7.66963181807847
"NMT2",-0.0698703092987119,3.51243646264991,-1.36760036688549,0.171830283198275,0.180847415164749,-7.59931596243196
